barcode,comp,fstation,pool,stratum,DATE,z15east,z15north,vel,vel_qf,date,year,month,day,reach,cfs,q_cat,vq_ratio,dataset
42000257,w,2,8,SC,09/20/1993,637455,4858712,0.04,NA,1993-09-20T05:00:00Z,1993,9,20,8,58500, High,0.6837606837606838,train
42026752,w,2,8,SC,04/24/2018,637654,4858711,0.03,NA,2018-04-24T05:00:00Z,2018,4,24,8,80300, High,0.3735990037359901,train
42006964,w,2,8,BWC,04/28/1999,638505,4858662,0,NA,1999-04-28T05:00:00Z,1999,4,28,8,78100, High,0,train
42005730,w,2,8,BWC,04/24/1998,638355,4858562,0,NA,1998-04-24T05:00:00Z,1998,4,24,8,72800, High,0,train
42033038,w,2,8,UNK,04/22/2024,638405,4858562,0,3,2024-04-22T05:00:00Z,2024,4,22,8,60700, High,0,train
12000167,f,2,8,TWZ,07/27/1993,636153,4858538,0.15,NA,1993-07-27T05:00:00Z,1993,7,27,8,89000, High,1.6853932584269662,train
12000222,f,2,8,TWZ,08/10/1993,636153,4858538,0.15,NA,1993-08-10T05:00:00Z,1993,8,10,8,72100, High,2.0804438280166435,train
12001837,f,2,8,TWZ,06/25/1996,636153,4858538,0.18,NA,1996-06-25T05:00:00Z,1996,6,25,8,61600, High,2.922077922077922,train
12002478,f,2,8,TWZ,07/14/1997,636153,4858538,0.11,NA,1997-07-14T05:00:00Z,1997,7,14,8,59500, High,1.8487394957983192,train
12001711,f,2,8,TWZ,10/16/1995,636153,4858538,0.3,NA,1995-10-16T05:00:00Z,1995,10,16,8,65800, High,4.5592705167173255,test
12004431,f,2,8,TWZ,07/05/2001,636153,4858538,0.17,NA,2001-07-05T05:00:00Z,2001,7,5,8,76600, High,2.219321148825065,train
12006494,f,2,8,TWZ,07/22/2010,636153,4858538,0,NA,2010-07-22T05:00:00Z,2010,7,22,8,61100, High,0,train
12006482,f,2,8,TWZ,07/20/2010,636153,4858538,0.38,NA,2010-07-20T05:00:00Z,2010,7,20,8,61100, High,6.219312602291326,train
12006483,f,2,8,TWZ,07/20/2010,636153,4858538,0.38,NA,2010-07-20T05:00:00Z,2010,7,20,8,61100, High,6.219312602291326,train
12006656,f,2,8,TWZ,10/19/2010,636153,4858538,0.57,NA,2010-10-19T05:00:00Z,2010,10,19,8,65200, High,8.742331288343557,train
12006657,f,2,8,TWZ,10/19/2010,636153,4858538,0.57,NA,2010-10-19T05:00:00Z,2010,10,19,8,65200, High,8.742331288343557,train
12006772,f,2,8,TWZ,08/04/2011,636153,4858538,0.03,NA,2011-08-04T05:00:00Z,2011,8,4,8,72000, High,0.41666666666666663,train
12006712,f,2,8,TWZ,07/05/2011,636153,4858538,0.08,NA,2011-07-05T05:00:00Z,2011,7,5,8,78600, High,1.0178117048346056,train
12007278,f,2,8,TWZ,06/24/2013,636153,4858538,0.42,NA,2013-06-24T05:00:00Z,2013,6,24,8,85700, High,4.900816802800467,train
12007279,f,2,8,TWZ,06/24/2013,636153,4858538,0.42,NA,2013-06-24T05:00:00Z,2013,6,24,8,85700, High,4.900816802800467,test
12007280,f,2,8,TWZ,06/24/2013,636153,4858538,0,NA,2013-06-24T05:00:00Z,2013,6,24,8,85700, High,0,train
12007567,f,2,8,TWZ,06/25/2014,636153,4858538,0.23,NA,2014-06-25T05:00:00Z,2014,6,25,8,132100, High,1.7411052233156699,train
12008699,f,2,8,TWZ,06/21/2018,636153,4858538,0.05,NA,2018-06-21T05:00:00Z,2018,6,21,8,76500, High,0.6535947712418301,train
12008358,f,2,8,TWZ,10/10/2016,636153,4858538,0.05,NA,2016-10-10T05:00:00Z,2016,10,10,8,76100, High,0.657030223390276,train
12008303,f,2,8,TWZ,09/13/2016,636153,4858538,0.06,NA,2016-09-13T05:00:00Z,2016,9,13,8,76600, High,0.783289817232376,train
12008390,f,2,8,TWZ,10/25/2016,636153,4858538,0.39,NA,2016-10-25T05:00:00Z,2016,10,25,8,68800, High,5.6686046511627906,train
12006983,f,2,8,TWZ,07/02/2012,636153,4858538,0,NA,2012-07-02T05:00:00Z,2012,7,2,8,80400, High,0,train
12008641,f,2,8,TWZ,10/09/2017,636153,4858538,0.05,NA,2017-10-09T05:00:00Z,2017,10,9,8,76400, High,0.6544502617801048,train
12008391,f,2,8,TWZ,10/25/2016,636153,4858538,0.39,NA,2016-10-25T05:00:00Z,2016,10,25,8,68800, High,5.6686046511627906,train
12008395,f,2,8,TWZ,06/15/2017,636153,4858538,0.04,NA,2017-06-15T05:00:00Z,2017,6,15,8,67700, High,0.5908419497784343,test
12008676,f,2,8,TWZ,10/23/2017,636153,4858538,0.23,NA,2017-10-23T05:00:00Z,2017,10,23,8,79700, High,2.8858218318695106,train
12008677,f,2,8,TWZ,10/23/2017,636153,4858538,0.23,NA,2017-10-23T05:00:00Z,2017,10,23,8,79700, High,2.8858218318695106,train
12008757,f,2,8,TWZ,07/25/2018,636153,4858538,0.32,NA,2018-07-25T05:00:00Z,2018,7,25,8,74700, High,4.28380187416332,train
12008758,f,2,8,TWZ,07/25/2018,636153,4858538,0.32,NA,2018-07-25T05:00:00Z,2018,7,25,8,74700, High,4.28380187416332,train
12008938,f,2,8,TWZ,10/15/2018,636153,4858538,0.77,NA,2018-10-15T05:00:00Z,2018,10,15,8,97400, High,7.905544147843942,train
12008939,f,2,8,TWZ,10/15/2018,636153,4858538,0.77,NA,2018-10-15T05:00:00Z,2018,10,15,8,97400, High,7.905544147843942,train
12007824,f,2,8,TWZ,06/16/2015,636153,4858538,0.1,NA,2015-06-16T05:00:00Z,2015,6,16,8,67000, High,1.4925373134328357,train
12008214,f,2,8,TWZ,07/26/2016,636153,4858538,0.38,NA,2016-07-26T05:00:00Z,2016,7,26,8,94300, High,4.029692470837752,train
12008215,f,2,8,TWZ,07/26/2016,636153,4858538,0.38,NA,2016-07-26T05:00:00Z,2016,7,26,8,94300, High,4.029692470837752,train
42003176,w,2,8,BWC,04/30/1996,638105,4858512,0.02,NA,1996-04-30T05:00:00Z,1996,4,30,8,124200, High,0.1610305958132045,test
42027362,w,2,8,BWC,10/15/2018,638405,4858512,0.04,NA,2018-10-15T05:00:00Z,2018,10,15,8,97400, High,0.4106776180698152,train
12004052,f,2,8,BWC-S,06/28/2000,638105,4858512,0,NA,2000-06-28T05:00:00Z,2000,6,28,8,69100, High,0,train
12008892,f,2,8,BWC-S,10/01/2018,638555,4858512,0,NA,2018-10-01T05:00:00Z,2018,10,1,8,65200, High,0,train
42004717,w,2,8,BWC,07/23/1997,638555,4858462,0,NA,1997-07-23T05:00:00Z,1997,7,23,8,63000, High,0,train
42025550,w,2,8,BWC,04/24/2017,638105,4858462,0,3,2017-04-24T05:00:00Z,2017,4,24,8,82900, High,0,train
12007818,f,2,8,BWC-S,06/16/2015,638105,4858462,0,NA,2015-06-16T05:00:00Z,2015,6,16,8,67000, High,0,train
12002996,f,2,8,BWC-S,07/06/1998,638405,4858462,0,NA,1998-07-06T05:00:00Z,1998,7,6,8,73900, High,0,train
42026722,w,2,8,BWC,04/24/2018,638554,4858461,0,3,2018-04-24T05:00:00Z,2018,4,24,8,80300, High,0,train
42012449,w,2,8,BWC,04/26/2005,638255,4858412,0,3,2005-04-26T05:00:00Z,2005,4,26,8,79600, High,0,train
42013546,w,2,8,BWC,05/04/2006,638255,4858412,0,3,2006-05-04T05:00:00Z,2006,5,4,8,62200, High,0,test
42018509,w,2,8,BWC,10/18/2010,638405,4858412,0.01,3,2010-10-18T05:00:00Z,2010,10,18,8,68700, High,0.14556040756914118,train
42018906,w,2,8,BWC,04/26/2011,638205,4858412,0,3,2011-04-26T05:00:00Z,2011,4,26,8,112000, High,0,train
12006977,f,2,8,BWC-S,07/02/2012,638655,4858412,0,NA,2012-07-02T05:00:00Z,2012,7,2,8,80400, High,0,train
12000115,f,2,8,TWZ,07/20/1993,636284,4858411,0.35,NA,1993-07-20T05:00:00Z,1993,7,20,8,124100, High,2.8203062046736505,train
12000116,f,2,8,TWZ,07/20/1993,636284,4858411,0.35,NA,1993-07-20T05:00:00Z,1993,7,20,8,124100, High,2.8203062046736505,train
12000168,f,2,8,TWZ,07/27/1993,636284,4858411,0.15,NA,1993-07-27T05:00:00Z,1993,7,27,8,89000, High,1.6853932584269662,train
12000223,f,2,8,TWZ,08/10/1993,636284,4858411,0.15,NA,1993-08-10T05:00:00Z,1993,8,10,8,72100, High,2.0804438280166435,train
12000370,f,2,8,TWZ,09/10/1993,636284,4858411,0.05,NA,1993-09-10T05:00:00Z,1993,9,10,8,61200, High,0.8169934640522876,train
12000371,f,2,8,TWZ,09/10/1993,636284,4858411,0.05,NA,1993-09-10T05:00:00Z,1993,9,10,8,61200, High,0.8169934640522876,train
12000349,f,2,8,TWZ,09/08/1993,636284,4858411,0.02,NA,1993-09-08T05:00:00Z,1993,9,8,8,61100, High,0.3273322422258592,test
12001838,f,2,8,TWZ,06/25/1996,636284,4858411,0.18,NA,1996-06-25T05:00:00Z,1996,6,25,8,61600, High,2.922077922077922,train
12001887,f,2,8,TWZ,07/02/1996,636284,4858411,0.1,NA,1996-07-02T05:00:00Z,1996,7,2,8,67000, High,1.4925373134328357,train
