BARCODE,FLDNUM,POOL,MSTRATUM,DATE,EAST1,NORTH1,WATER_VEL
31015175,1,4,BWC-U,6/17/2022,536483,4936509,0
31015176,1,4,BWC-U,6/17/2022,536428,4936361,0
31015177,1,4,BWC-U,6/17/2022,536782,4936257,0.02
31015178,1,4,BWC-U,6/17/2022,536833,4936260,0.02
31015179,1,4,BWC-U,6/17/2022,536579,4936204,0.03
31015180,1,4,BWC-U,7/8/2022,542176,4936208,0
31015181,1,4,BWC-U,7/8/2022,542076,4936160,0.03
31015182,1,4,BWC-U,6/17/2022,536680,4936155,0.02
31015183,1,4,BWC-U,6/29/2022,540817,4936102,0.02
31015184,1,4,BWC-U,6/17/2022,536582,4936059,0.02
31015185,1,4,BWC-U,7/8/2022,542628,4936055,0.01
31015186,1,4,BWC-U,7/15/2022,539032,4936054,0.32
31015187,1,4,BWC-U,6/17/2022,536581,4936012,0.02
31015188,1,4,BWC-U,6/29/2022,538676,4936005,0
31015189,1,4,BWC-U,6/29/2022,538775,4936011,0.01
31015190,1,4,BWC-U,6/29/2022,540374,4936007,0
31015191,1,4,BWC-U,7/15/2022,539328,4935945,0.01
31015192,1,4,BWC-U,7/15/2022,539780,4935907,0.13
31015193,1,4,BWC-U,6/29/2022,540378,4935914,0
31015194,1,4,BWC-U,7/15/2022,539394,4935909,0.32
31015195,1,4,BWC-U,7/8/2022,542930,4935862,0.01
31015196,1,4,BWC-U,6/17/2022,536833,4935859,0.01
31015197,1,4,BWC-U,6/17/2022,537382,4935863,0.03
31015198,1,4,BWC-U,7/15/2022,539627,4935855,0.23
31015201,1,4,BWC-U,7/8/2022,542078,4935810,0.01
31015202,1,4,BWC-U,7/15/2022,540075,4935810,0.35
31015206,1,4,BWC-U,7/18/2022,542384,4935761,0.01
31015207,1,4,BWC-U,7/15/2022,541028,4935760,0.08
31015208,1,4,BWC-U,7/14/2022,543129,4935708,0.03
31015209,1,4,BWC-U,6/29/2022,539478,4935712,0.01
31015210,1,4,BWC-U,7/15/2022,540879,4935706,0.19
31015211,1,4,BWC-U,7/18/2022,542471,4935662,0.01
31015212,1,4,BWC-U,7/18/2022,542528,4935665,0.01
31015213,1,4,BWC-U,6/29/2022,539521,4935610,0.02
31015214,1,4,BWC-U,7/14/2022,542975,4935613,0.02
31015216,1,4,BWC-U,7/8/2022,542332,4935509,0.02
31015217,1,4,BWC-U,6/29/2022,539825,4935516,0.02
31015220,1,4,BWC-U,7/8/2022,542224,4935464,0.01
31015221,1,4,BWC-U,6/29/2022,539873,4935457,0.02
31015222,1,4,BWC-U,7/8/2022,542279,4935410,0.01
31015223,1,4,BWC-U,7/8/2022,542326,4935403,0.01
31015224,1,4,BWC-U,7/18/2022,542578,4935403,0.02
31015225,1,4,BWC-U,7/18/2022,542729,4935418,0.06
31015226,1,4,BWC-U,7/8/2022,543125,4935407,0.01
31015227,1,4,BWC-U,6/29/2022,539831,4935359,0.02
31015228,1,4,BWC-U,7/8/2022,542874,4935308,0.17
31015229,1,4,BWC-U,6/29/2022,540424,4935308,0.02
31015230,1,4,BWC-U,6/28/2022,538580,4935004,0.02
31015232,1,4,BWC-U,7/14/2022,541635,4934799,0.01
31015233,1,4,BWC-U,7/8/2022,554025,4934653,0
31015237,1,4,BWC-U,6/28/2022,544378,4934159,0.01
31015238,1,4,BWC-U,6/28/2022,544227,4934160,0.02
31015239,1,4,BWC-U,6/28/2022,545029,4934062,0.01
31015240,1,4,BWC-U,6/28/2022,544228,4934007,0.01
31015241,1,4,BWC-U,6/28/2022,544330,4934010,0.01
31015242,1,4,BWC-U,6/28/2022,544727,4933961,0.01
31015243,1,4,BWC-U,6/28/2022,544480,4933907,0.02
31015244,1,4,BWC-U,6/28/2022,544429,4933813,0.01
31015245,1,4,BWC-U,6/28/2022,544932,4933811,0.02
31015246,1,4,BWC-U,6/28/2022,544376,4933718,0
31015247,1,4,BWC-U,6/28/2022,545330,4933659,0.02
31015248,1,4,BWC-U,6/28/2022,545121,4933608,0.03
31015250,1,4,BWC-L,7/11/2022,574979,4918700,0.12
31015257,1,4,BWC-L,6/22/2022,578877,4917359,0.16
31015258,1,4,BWC-L,6/22/2022,578975,4917304,0.05
31015259,1,4,BWC-L,6/22/2022,579027,4917306,0.11
31015260,1,4,BWC-L,6/22/2022,578978,4917204,0.01
31015262,1,4,BWC-L,6/22/2022,578929,4917059,0.01
31015263,1,4,BWC-L,6/22/2022,578879,4917005,0
31015264,1,4,BWC-L,6/22/2022,578934,4917008,0.01
31015266,1,4,BWC-L,7/20/2022,580875,4916906,0
31015267,1,4,BWC-L,7/11/2022,579829,4916854,0.01
31015268,1,4,BWC-L,7/11/2022,580386,4916809,0
